Adler         41200               45          T
Alario        39565               43          A
Anders        30980               41          A
Bajwa         23225               27          A
Barny         21250               26          A
Berger        41875               45          T
Brenn         31225               41          A
Cain          30135               36          T
Carle         29850               32          A
Castle        21850               22          A
Chan          43005               48          T
Cho           34785               41          A
Cohen         25350               27          A
Davis         40425               46          T
Dawson        39150               42          T
Denker        19435               19          A
Dorando       24125               28          A
Dubois        30450               40          A
England       24750               25          A
Estis         22755               23          A
Fenton        23000               24          A
Finer         42000               46          T
Frees         44100               52          T
Gary          44975               55          T
Gillen        25900               27          A
Harvey        40875               46          T
Higgins       38595               41          A
Huang         42995               48          T
Jatho         31755               40          A
Johnson       29540               32          A
Jurasik       34300               41          A
Darel         36300               42          A
Klein         43700               51          T
Lang          19435               22          A
Liao          28750               32          A
Lostan        44675               52          T
Mak           35505               38          T
Maloff        33425               38          T
McCall        31300               36          T
Nadeau        42300               46          T
Nguyen        43625               50          T
Oas           37650               42          A
Patel         38400               43          T
Porter        32195               35          T
Rosa          19435               21          A
Roth          32785               39          T
Savino        37900               42          A
Scott         29150               30          T
Smith         35125               41          A
Teel          27655               33          A
Walker        42545               47          T
Wang          22200               32          A
Yen           40350               44          T
Young         28305               34          A
Zeitels       36500               42          A
